Λήμμα (Lemma),POS,Drill_Type,Front,Back
άθλος,Noun,Genitive Singular,άθλος (Genitive Singular),άθλου
άθροισμα,Noun,Plural,άθροισμα (Plural),αθροίσματα
άθροισμα,Noun,Genitive Singular,άθροισμα (Genitive Singular),αθροίσματος
άκαμπτος,Adjective,Feminine,άκαμπτος (Feminine),άκαμπτη
άκαμπτος,Adjective,Neuter,άκαμπτος (Neuter),άκαμπτο
άκουσμα,Noun,Plural,άκουσμα (Plural),ακούσματα
άκουσμα,Noun,Genitive Singular,άκουσμα (Genitive Singular),ακούσματος
άκρη,Noun,Plural,άκρη (Plural),άκρες
άκρη,Noun,Genitive Singular,άκρη (Genitive Singular),άκρης
άκρο,Noun,Plural,άκρο (Plural),άκρα
άκρο,Noun,Genitive Singular,άκρο (Genitive Singular),άκρου
άκυρος,Adjective,Feminine,άκυρος (Feminine),άκυρη
άκυρος,Adjective,Neuter,άκυρος (Neuter),άκυρο
άλμα,Noun,Plural,άλμα (Plural),άλματα
άλμα,Noun,Genitive Singular,άλμα (Genitive Singular),άλματος
άλογο,Noun,Plural,άλογο (Plural),άλογα
άλογο,Noun,Genitive Singular,άλογο (Genitive Singular),αλόγου
άμαξα,Noun,Plural,άμαξα (Plural),άμαξες
άμαξα,Noun,Genitive Singular,άμαξα (Genitive Singular),άμαξας
άμεσος,Adjective,Feminine,άμεσος (Feminine),άμεση
άμεσος,Adjective,Neuter,άμεσος (Neuter),άμεσο
άμμος,Noun,Plural,άμμος (Plural),άμμοι
άμμος,Noun,Genitive Singular,άμμος (Genitive Singular),άμμου
άμυνα,Noun,Plural,άμυνα (Plural),άμυνες
άμυνα,Noun,Genitive Singular,άμυνα (Genitive Singular),άμυνας
άνδρας,Noun,Plural,άνδρας (Plural),άνδρες
άνδρας,Noun,Genitive Singular,άνδρας (Genitive Singular),άνδρα
άνεμος,Noun,Plural,άνεμος (Plural),άνεμοι
άνεμος,Noun,Genitive Singular,άνεμος (Genitive Singular),ανέμου
άνεργος,Adjective,Feminine,άνεργος (Feminine),άνεργη
άνεργος,Adjective,Neuter,άνεργος (Neuter),άνεργο
άνεση,Noun,Plural,άνεση (Plural),ανέσεις
άνεση,Noun,Genitive Singular,άνεση (Genitive Singular),άνεσης
άνετος,Adjective,Feminine,άνετος (Feminine),άνετη
άνετος,Adjective,Neuter,άνετος (Neuter),άνετο
άνθος,Noun,Plural,άνθος (Plural),άνθη
άνθος,Noun,Genitive Singular,άνθος (Genitive Singular),άνθους
άνθρακας,Noun,Plural,άνθρακας (Plural),άνθρακες
άνθρακας,Noun,Genitive Singular,άνθρακας (Genitive Singular),άνθρακα
άνθρωπος,Noun,Plural,άνθρωπος (Plural),άνθρωποι
άνθρωπος,Noun,Genitive Singular,άνθρωπος (Genitive Singular),ανθρώπου
άνοδος,Noun,Plural,άνοδος (Plural),άνοδοι
άνοδος,Noun,Genitive Singular,άνοδος (Genitive Singular),ανόδου
άνοιγμα,Noun,Plural,άνοιγμα (Plural),ανοίγματα
άνοιγμα,Noun,Genitive Singular,άνοιγμα (Genitive Singular),ανοίγματος
άνοιξη,Noun,Plural,άνοιξη (Plural),ανοίξεις
άνοιξη,Noun,Genitive Singular,άνοιξη (Genitive Singular),άνοιξης
άνομος,Adjective,Feminine,άνομος (Feminine),άνομη
άνομος,Adjective,Neuter,άνομος (Neuter),άνομο
άνοστος,Adjective,Feminine,άνοστος (Feminine),άνοστη
άνοστος,Adjective,Neuter,άνοστος (Neuter),άνοστο
άντρας,Noun,Plural,άντρας (Plural),άντρες
άντρας,Noun,Genitive Singular,άντρας (Genitive Singular),άντρα
άξιος,Adjective,Feminine,άξιος (Feminine),άξια
άξιος,Adjective,Neuter,άξιος (Neuter),άξιο
άξονας,Noun,Plural,άξονας (Plural),άξονες
άξονας,Noun,Genitive Singular,άξονας (Genitive Singular),άξονα
άπειρος,Adjective,Feminine,άπειρος (Feminine),άπειρη
άπειρος,Adjective,Neuter,άπειρος (Neuter),άπειρο
άπιστος,Adjective,Feminine,άπιστος (Feminine),άπιστη
άπιστος,Adjective,Neuter,άπιστος (Neuter),άπιστο
άποψη,Noun,Plural,άποψη (Plural),απόψεις
άποψη,Noun,Genitive Singular,άποψη (Genitive Singular),άποψης
άργυρος,Noun,Genitive Singular,άργυρος (Genitive Singular),αργύρου
άρδευση,Noun,Plural,άρδευση (Plural),αρδεύσεις
άρδευση,Noun,Genitive Singular,άρδευση (Genitive Singular),άρδευσης
άρθρο,Noun,Plural,άρθρο (Plural),άρθρα
άρθρο,Noun,Genitive Singular,άρθρο (Genitive Singular),άρθρου
άρθρωση,Noun,Plural,άρθρωση (Plural),αρθρώσεις
άρθρωση,Noun,Genitive Singular,άρθρωση (Genitive Singular),άρθρωσης
άριστος,Adjective,Feminine,άριστος (Feminine),άριστη
άριστος,Adjective,Neuter,άριστος (Neuter),άριστο
άρνηση,Noun,Plural,άρνηση (Plural),αρνήσεις
άρνηση,Noun,Genitive Singular,άρνηση (Genitive Singular),άρνησης
άρπαγμα,Noun,Plural,άρπαγμα (Plural),αρπάγματα
άρπαγμα,Noun,Genitive Singular,άρπαγμα (Genitive Singular),αρπάγματος
άρρωστος,Adjective,Feminine,άρρωστος (Feminine),άρρωστη
άρρωστος,Adjective,Neuter,άρρωστος (Neuter),άρρωστο
άρρωστος,Noun,Plural,άρρωστος (Plural),άρρωστοι
άρρωστος,Noun,Genitive Singular,άρρωστος (Genitive Singular),αρρώστου
άρτιος,Adjective,Feminine,άρτιος (Feminine),άρτια
άρτιος,Adjective,Neuter,άρτιος (Neuter),άρτιο
άρχοντας,Noun,Plural,άρχοντας (Plural),άρχοντες
άρχοντας,Noun,Genitive Singular,άρχοντας (Genitive Singular),άρχοντα
άρωμα,Noun,Plural,άρωμα (Plural),αρώματα
άρωμα,Noun,Genitive Singular,άρωμα (Genitive Singular),αρώματος
άσθμα,Noun,Plural,άσθμα (Plural),άσθματα
άσθμα,Noun,Genitive Singular,άσθμα (Genitive Singular),άσθματος
άσκηση,Noun,Plural,άσκηση (Plural),ασκήσεις
άσκηση,Noun,Genitive Singular,άσκηση (Genitive Singular),άσκησης
άσκοπος,Adjective,Feminine,άσκοπος (Feminine),άσκοπη
άσκοπος,Adjective,Neuter,άσκοπος (Neuter),άσκοπο
άσπρος,Adjective,Feminine,άσπρος (Feminine),άσπρη
άσπρος,Adjective,Neuter,άσπρος (Neuter),άσπρο
άστεγος,Adjective,Feminine,άστεγος (Feminine),άστεγη
άστεγος,Adjective,Neuter,άστεγος (Neuter),άστεγο
άστρο,Noun,Plural,άστρο (Plural),άστρα
άστρο,Noun,Genitive Singular,άστρο (Genitive Singular),άστρου
άσυλο,Noun,Plural,άσυλο (Plural),άσυλα
άσυλο,Noun,Genitive Singular,άσυλο (Genitive Singular),άσυλου
άσχετος,Adjective,Feminine,άσχετος (Feminine),άσχετη
άσχετος,Adjective,Neuter,άσχετος (Neuter),άσχετο
άσχημος,Adjective,Feminine,άσχημος (Feminine),άσχημη
άσχημος,Adjective,Neuter,άσχημος (Neuter),άσχημο
άτλαντας,Noun,Plural,άτλαντας (Plural),άτλαντες
άτλαντας,Noun,Genitive Singular,άτλαντας (Genitive Singular),άτλαντα
άτομο,Noun,Plural,άτομο (Plural),άτομα
άτομο,Noun,Genitive Singular,άτομο (Genitive Singular),ατόμου
άτυχος,Adjective,Feminine,άτυχος (Feminine),άτυχη
άτυχος,Adjective,Neuter,άτυχος (Neuter),άτυχο
άφθονος,Adjective,Feminine,άφθονος (Feminine),άφθονη
άφθονος,Adjective,Neuter,άφθονος (Neuter),άφθονο
άφιξη,Noun,Plural,άφιξη (Plural),αφίξεις
άφιξη,Noun,Genitive Singular,άφιξη (Genitive Singular),άφιξης
άχρηστος,Adjective,Feminine,άχρηστος (Feminine),άχρηστη
άχρηστος,Adjective,Neuter,άχρηστος (Neuter),άχρηστο
άψογος,Adjective,Feminine,άψογος (Feminine),άψογη
άψογος,Adjective,Neuter,άψογος (Neuter),άψογο
έγγραφο,Noun,Plural,έγγραφο (Plural),έγγραφα
έγγραφο,Noun,Genitive Singular,έγγραφο (Genitive Singular),έγγραφου
έγγραφος,Adjective,Feminine,έγγραφος (Feminine),έγγραφη
έγγραφος,Adjective,Neuter,έγγραφος (Neuter),έγγραφο
έγκαιρος,Adjective,Feminine,έγκαιρος (Feminine),έγκαιρη
έγκαιρος,Adjective,Neuter,έγκαιρος (Neuter),έγκαιρο
έγκλημα,Noun,Plural,έγκλημα (Plural),εγκλήματα
έγκλημα,Noun,Genitive Singular,έγκλημα (Genitive Singular),εγκλήματος
έγκριση,Noun,Plural,έγκριση (Plural),εγκρίσεις
έγκριση,Noun,Genitive Singular,έγκριση (Genitive Singular),έγκρισης
έγκυος,Adjective,Feminine,έγκυος (Feminine),έγκυα
έγκυος,Adjective,Neuter,έγκυος (Neuter),έγκυο
έγκυος,Noun,Plural,έγκυος (Plural),έγκυοι
έγκυος,Noun,Genitive Singular,έγκυος (Genitive Singular),εγκύου
έγκυρος,Adjective,Feminine,έγκυρος (Feminine),έγκυρη
έγκυρος,Adjective,Neuter,έγκυρος (Neuter),έγκυρο
έδαφος,Noun,Plural,έδαφος (Plural),εδάφη
έδαφος,Noun,Genitive Singular,έδαφος (Genitive Singular),εδάφους
έδρα,Noun,Plural,έδρα (Plural),έδρες
έδρα,Noun,Genitive Singular,έδρα (Genitive Singular),έδρας
έθιμο,Noun,Plural,έθιμο (Plural),έθιμα
έθιμο,Noun,Genitive Singular,έθιμο (Genitive Singular),έθιμου
έθνος,Noun,Plural,έθνος (Plural),έθνη
έθνος,Noun,Genitive Singular,έθνος (Genitive Singular),έθνους
έκδοση,Noun,Plural,έκδοση (Plural),εκδόσεις
έκδοση,Noun,Genitive Singular,έκδοση (Genitive Singular),έκδοσης
έκθεση,Noun,Plural,έκθεση (Plural),εκθέσεις
έκθεση,Noun,Genitive Singular,έκθεση (Genitive Singular),έκθεσης
έκκληση,Noun,Plural,έκκληση (Plural),εκκλήσεις
έκκληση,Noun,Genitive Singular,έκκληση (Genitive Singular),έκκλησης
έκπληξη,Noun,Plural,έκπληξη (Plural),εκπλήξεις
έκπληξη,Noun,Genitive Singular,έκπληξη (Genitive Singular),έκπληξης
έκπτωση,Noun,Plural,έκπτωση (Plural),εκπτώσεις
έκπτωση,Noun,Genitive Singular,έκπτωση (Genitive Singular),έκπτωσης
έκρηξη,Noun,Plural,έκρηξη (Plural),εκρήξεις
έκρηξη,Noun,Genitive Singular,έκρηξη (Genitive Singular),έκρηξης
έκτακτος,Adjective,Feminine,έκτακτος (Feminine),έκτακτη
έκτακτος,Adjective,Neuter,έκτακτος (Neuter),έκτακτο
έκταση,Noun,Plural,έκταση (Plural),εκτάσεις
έκταση,Noun,Genitive Singular,έκταση (Genitive Singular),έκτασης
έκτρωση,Noun,Plural,έκτρωση (Plural),εκτρώσεις
έκτρωση,Noun,Genitive Singular,έκτρωση (Genitive Singular),έκτρωσης
έκφραση,Noun,Plural,έκφραση (Plural),εκφράσεις
έκφραση,Noun,Genitive Singular,έκφραση (Genitive Singular),έκφρασης
έλαιο,Noun,Plural,έλαιο (Plural),έλαια
έλαιο,Noun,Genitive Singular,έλαιο (Genitive Singular),ελαίου
έλατο,Noun,Plural,έλατο (Plural),έλατα
έλατο,Noun,Genitive Singular,έλατο (Genitive Singular),έλατου
έλεγχος,Noun,Plural,έλεγχος (Plural),έλεγχοι
έλεγχος,Noun,Genitive Singular,έλεγχος (Genitive Singular),ελέγχου
έλεος,Noun,Plural,έλεος (Plural),ελέη
έλεος,Noun,Genitive Singular,έλεος (Genitive Singular),ελέους
έλκω,Verb,Active Participle,έλκω (Active Participle),έχοντας έλξει
έλλειμμα,Noun,Plural,έλλειμμα (Plural),ελλείμματα
έλλειμμα,Noun,Genitive Singular,έλλειμμα (Genitive Singular),ελλείμματος
έλλειψη,Noun,Plural,έλλειψη (Plural),ελλείψεις
έλλειψη,Noun,Genitive Singular,έλλειψη (Genitive Singular),έλλειψης
έλξη,Noun,Plural,έλξη (Plural),έλξεις
έλξη,Noun,Genitive Singular,έλξη (Genitive Singular),έλξης
έμβρυο,Noun,Plural,έμβρυο (Plural),έμβρυα
έμβρυο,Noun,Genitive Singular,έμβρυο (Genitive Singular),έμβρυου
έμμεσος,Adjective,Feminine,έμμεσος (Feminine),έμμεση
έμμεσος,Adjective,Neuter,έμμεσος (Neuter),έμμεσο
έμπειρος,Adjective,Feminine,έμπειρος (Feminine),έμπειρη
έμπειρος,Adjective,Neuter,έμπειρος (Neuter),έμπειρο
έμπνευση,Noun,Plural,έμπνευση (Plural),εμπνεύσεις
έμπνευση,Noun,Genitive Singular,έμπνευση (Genitive Singular),έμπνευσης
έμπορος,Noun,Plural,έμπορος (Plural),έμποροι
έμπορος,Noun,Genitive Singular,έμπορος (Genitive Singular),εμπόρου
έμφαση,Noun,Plural,έμφαση (Plural),εμφάσεις
έμφαση,Noun,Genitive Singular,έμφαση (Genitive Singular),έμφασης
έναρξη,Noun,Plural,έναρξη (Plural),ενάρξεις
έναρξη,Noun,Genitive Singular,έναρξη (Genitive Singular),έναρξης
ένδειξη,Noun,Plural,ένδειξη (Plural),ενδείξεις
ένδειξη,Noun,Genitive Singular,ένδειξη (Genitive Singular),ένδειξης
ένδοξος,Adjective,Feminine,ένδοξος (Feminine),ένδοξη
ένδοξος,Adjective,Neuter,ένδοξος (Neuter),ένδοξο
ένδυμα,Noun,Plural,ένδυμα (Plural),ενδύματα
ένδυμα,Noun,Genitive Singular,ένδυμα (Genitive Singular),ενδύματος
ένεση,Noun,Plural,ένεση (Plural),ενέσεις
ένεση,Noun,Genitive Singular,ένεση (Genitive Singular),ένεσης
έννοια,Noun,Plural,έννοια (Plural),έννοιες
έννοια,Noun,Genitive Singular,έννοια (Genitive Singular),έννοιας
ένοικος,Noun,Plural,ένοικος (Plural),ένοικοι
ένοικος,Noun,Genitive Singular,ένοικος (Genitive Singular),ενοίκου
ένοπλος,Adjective,Feminine,ένοπλος (Feminine),ένοπλη
ένοπλος,Adjective,Neuter,ένοπλος (Neuter),ένοπλο
ένοχος,Adjective,Feminine,ένοχος (Feminine),ένοχη
ένοχος,Adjective,Neuter,ένοχος (Neuter),ένοχο
ένοχος,Noun,Plural,ένοχος (Plural),ένοχοι
ένοχος,Noun,Genitive Singular,ένοχος (Genitive Singular),ενόχου
ένσταση,Noun,Plural,ένσταση (Plural),ενστάσεις
ένσταση,Noun,Genitive Singular,ένσταση (Genitive Singular),ένστασης
ένστικτο,Noun,Plural,ένστικτο (Plural),ένστικτα
ένστικτο,Noun,Genitive Singular,ένστικτο (Genitive Singular),ένστικτου
ένταλμα,Noun,Plural,ένταλμα (Plural),εντάλματα
ένταλμα,Noun,Genitive Singular,ένταλμα (Genitive Singular),εντάλματος
ένταξη,Noun,Plural,ένταξη (Plural),εντάξεις
ένταξη,Noun,Genitive Singular,ένταξη (Genitive Singular),ένταξης
ένταση,Noun,Plural,ένταση (Plural),εντάσεις
ένταση,Noun,Genitive Singular,ένταση (Genitive Singular),έντασης
έντερο,Noun,Plural,έντερο (Plural),έντερα
έντερο,Noun,Genitive Singular,έντερο (Genitive Singular),έντερου
έντιμος,Adjective,Feminine,έντιμος (Feminine),έντιμη
έντιμος,Adjective,Neuter,έντιμος (Neuter),έντιμο
έντομο,Noun,Plural,έντομο (Plural),έντομα
έντομο,Noun,Genitive Singular,έντομο (Genitive Singular),έντομου
έντονος,Adjective,Feminine,έντονος (Feminine),έντονη
έντονος,Adjective,Neuter,έντονος (Neuter),έντονο
έντυπο,Noun,Plural,έντυπο (Plural),έντυπα
έντυπο,Noun,Genitive Singular,έντυπο (Genitive Singular),έντυπου
ένωση,Noun,Plural,ένωση (Plural),ενώσεις
ένωση,Noun,Genitive Singular,ένωση (Genitive Singular),ένωσης
έξαλλος,Adjective,Feminine,έξαλλος (Feminine),έξαλλη
έξαλλος,Adjective,Neuter,έξαλλος (Neuter),έξαλλο
έξοδο,Noun,Plural,έξοδο (Plural),έξοδα
έξοδο,Noun,Genitive Singular,έξοδο (Genitive Singular),έξοδου
έξοδος,Noun,Plural,έξοδος (Plural),έξοδοι
έξοδος,Noun,Genitive Singular,έξοδος (Genitive Singular),εξόδου
έξοχος,Adjective,Feminine,έξοχος (Feminine),έξοχη
έξοχος,Adjective,Neuter,έξοχος (Neuter),έξοχο
έξυπνος,Adjective,Feminine,έξυπνος (Feminine),έξυπνη
έξυπνος,Adjective,Neuter,έξυπνος (Neuter),έξυπνο
έπαθλο,Noun,Plural,έπαθλο (Plural),έπαθλα
έπαθλο,Noun,Genitive Singular,έπαθλο (Genitive Singular),έπαθλου
έπαινος,Noun,Plural,έπαινος (Plural),έπαινοι
έπαινος,Noun,Genitive Singular,έπαινος (Genitive Singular),επαίνου
έπιπλο,Noun,Plural,έπιπλο (Plural),έπιπλα
έπιπλο,Noun,Genitive Singular,έπιπλο (Genitive Singular),έπιπλου
έπος,Noun,Plural,έπος (Plural),έπη
έπος,Noun,Genitive Singular,έπος (Genitive Singular),έπους
έργο,Noun,Plural,έργο (Plural),έργα
έργο,Noun,Genitive Singular,έργο (Genitive Singular),έργου
έρευνα,Noun,Plural,έρευνα (Plural),έρευνες
έρευνα,Noun,Genitive Singular,έρευνα (Genitive Singular),έρευνας
έρημος,Adjective,Feminine,έρημος (Feminine),έρημη
έρημος,Adjective,Neuter,έρημος (Neuter),έρημο
έρημος,Noun,Plural,έρημος (Plural),έρημοι
έρημος,Noun,Genitive Singular,έρημος (Genitive Singular),ερήμου
έρωτας,Noun,Plural,έρωτας (Plural),έρωτες
έρωτας,Noun,Genitive Singular,έρωτας (Genitive Singular),έρωτα
έσοδο,Noun,Plural,έσοδο (Plural),έσοδα
έσοδο,Noun,Genitive Singular,έσοδο (Genitive Singular),έσοδου
έτοιμος,Adjective,Feminine,έτοιμος (Feminine),έτοιμη
έτοιμος,Adjective,Neuter,έτοιμος (Neuter),έτοιμο
έτος,Noun,Plural,έτος (Plural),έτη
έτος,Noun,Genitive Singular,έτος (Genitive Singular),έτους
έφεση,Noun,Plural,έφεση (Plural),εφέσεις
έφεση,Noun,Genitive Singular,έφεση (Genitive Singular),έφεσης
έφηβος,Noun,Plural,έφηβος (Plural),έφηβοι
έφηβος,Noun,Genitive Singular,έφηβος (Genitive Singular),εφήβου
έχθρα,Noun,Plural,έχθρα (Plural),έχθρες
έχθρα,Noun,Genitive Singular,έχθρα (Genitive Singular),έχθρας
ήλιος,Noun,Plural,ήλιος (Plural),ήλιοι
ήλιος,Noun,Genitive Singular,ήλιος (Genitive Singular),ηλίου
ήμερος,Adjective,Feminine,ήμερος (Feminine),ήμερη
ήμερος,Adjective,Neuter,ήμερος (Neuter),ήμερο
ήμισυ,Noun,Plural,ήμισυ (Plural),ημίσεα
ήμισυ,Noun,Genitive Singular,ήμισυ (Genitive Singular),ημίσεος
ήπιος,Adjective,Feminine,ήπιος (Feminine),ήπια
ήπιος,Adjective,Neuter,ήπιος (Neuter),ήπιο
ήρεμος,Adjective,Feminine,ήρεμος (Feminine),ήρεμη
ήρεμος,Adjective,Neuter,ήρεμος (Neuter),ήρεμο
ήρωας,Noun,Plural,ήρωας (Plural),ήρωες
ήρωας,Noun,Genitive Singular,ήρωας (Genitive Singular),ήρωα
ήσυχος,Adjective,Feminine,ήσυχος (Feminine),ήσυχη
ήσυχος,Adjective,Neuter,ήσυχος (Neuter),ήσυχο
ήττα,Noun,Plural,ήττα (Plural),ήττες
ήττα,Noun,Genitive Singular,ήττα (Genitive Singular),ήττας
ήχος,Noun,Plural,ήχος (Plural),ήχοι
ήχος,Noun,Genitive Singular,ήχος (Genitive Singular),ήχου
ίδιος,Adjective,Feminine,ίδιος (Feminine),ίδια
ίδιος,Adjective,Neuter,ίδιος (Neuter),ίδιο
ίδρυμα,Noun,Plural,ίδρυμα (Plural),ιδρύματα
ίδρυμα,Noun,Genitive Singular,ίδρυμα (Genitive Singular),ιδρύματος
ίδρυση,Noun,Plural,ίδρυση (Plural),ιδρύσεις
ίδρυση,Noun,Genitive Singular,ίδρυση (Genitive Singular),ίδρυσης
ίνα,Noun,Plural,ίνα (Plural),ίνες
ίνα,Noun,Genitive Singular,ίνα (Genitive Singular),ίνας
ίσιος,Adjective,Feminine,ίσιος (Feminine),ίσια
ίσιος,Adjective,Neuter,ίσιος (Neuter),ίσιο
ίσκιος,Noun,Plural,ίσκιος (Plural),ίσκιοι
ίσκιος,Noun,Genitive Singular,ίσκιος (Genitive Singular),ίσκιου
ίσος,Adjective,Feminine,ίσος (Feminine),ίση
ίσος,Adjective,Neuter,ίσος (Neuter),ίσο
ίχνος,Noun,Plural,ίχνος (Plural),ίχνη
